,Title,Product Url,Price,Brand,Rating,Units Sold,Product Description
0,Portable Mouthwash Stick Travel Sachet Mouth Wash Spray Gargle Breath Freshener,https://shopee.sg/Portable-Mouthwash-Stick-Travel-Sachet-Mouth-Wash-Spray-Gargle-Breath-Freshener-i.15618985.10723562955?sp_atk=0af30c3b-13d9-4328-89fc-a00d8ba699d8&xptdk=0af30c3b-13d9-4328-89fc-a00d8ba699d8,$0.15 - $0.18,,4.9,30k,
1,[COSRX OFFICIAL] Acne Pimple Master Patch (24 Patches) / AC Collection Acne Patch (26 Patches) / Clear Fit Master Patch (18 Patches),https://shopee.sg/-COSRX-OFFICIAL-Acne-Pimple-Master-Patch-(24-Patches)-AC-Collection-Acne-Patch-(26-Patches)-Clear-Fit-Master-Patch-(18-Patches)-i.116704504.5582104613?sp_atk=024aedca-85c4-4f60-a53d-4632a38c37ea&xptdk=024aedca-85c4-4f60-a53d-4632a38c37ea,$2.36 - $6.91,,4.9,21.6k,
2,【SG Wholesale】BISUTANG Fruit Extract Plant Extract Facial Mask Moisturiser Mask Replenishment Purifying Nourishing,https://shopee.sg/%E3%80%90SG-Wholesale%E3%80%91BISUTANG-Fruit-Extract-Plant-Extract-Facial-Mask-Moisturiser-Mask-Replenishment-Purifying-Nourishing-i.79238364.8059058314?sp_atk=7d809687-f536-47b0-83b5-8aa4ed7f6faa&xptdk=7d809687-f536-47b0-83b5-8aa4ed7f6faa,$0.31 ,,5,39.3k,
3,Foot Detox Patch Lao Beijing Feet Patches Herbal Plaster Pad Detoxification Mask Spa Bath Soak Ginger,https://shopee.sg/Foot-Detox-Patch-Lao-Beijing-Feet-Patches-Herbal-Plaster-Pad-Detoxification-Mask-Spa-Bath-Soak-Ginger-i.15618985.10905625823?sp_atk=09efca95-1ff7-46aa-b299-1c4006298672&xptdk=09efca95-1ff7-46aa-b299-1c4006298672,$0.11 ,,4.9,19.5k,
4,"Kirei Kirei Anti-Bacterial Hand Wash Hand Soap, Refill 200ml Pack",https://shopee.sg/Kirei-Kirei-Anti-Bacterial-Hand-Wash-Hand-Soap-Refill-200ml-Pack-i.3272555.10786038944?sp_atk=af54addb-96c1-4ead-a0dc-a6eb2b191047&xptdk=af54addb-96c1-4ead-a0dc-a6eb2b191047,$1.44 ,,5,12.2k,
5,[SG READY STOCK!] BISUTANG Plant Fruit Extract Peel Off Facial Sheet Mask,https://shopee.sg/-SG-READY-STOCK!-BISUTANG-Plant-Fruit-Extract-Peel-Off-Facial-Sheet-Mask-i.298190389.7447973937?sp_atk=8d00f2c4-4f4c-418b-9db5-5e4865be8c05&xptdk=8d00f2c4-4f4c-418b-9db5-5e4865be8c05,$0.32 ,,4.9,57k,
6,[ETUDE HOUSE] Fixing Tint 4g / 11 Shades,https://shopee.sg/-ETUDE-HOUSE-Fixing-Tint-4g-11-Shades-i.114919380.8551011670?sp_atk=81dabede-d282-4b1b-bc52-70b4678db39e&xptdk=81dabede-d282-4b1b-bc52-70b4678db39e,$7.70 ,Etude House,4.9,34.3k,"[ETUDE HOUSE] Fixing Tint 4g / 11 Shades


Feature
Hydrating tint that stains less on your mask with a lightweight matte finish.
Weightless & Matte.
Smudge-proof even in medical face mask.
*lasting time and smudge-proof effect may different by person.


Volume
4g

Color Options
#1 Analog Rose
#2 Vintage Red
#3 Mellow Peach
#4 Ginger Milktea
#5 Midnight Mauve
#6 Soft Walnut
#7 Cranberry Plum 
#8 Dusty Beige 
#10 Smoky Cherry (New)
#11 Rose Blending (New)
#12 Salmon Brick (New)

How To Use
Apply a proper amount on lips and smudge it. Dry it completely for a better adherance and long-lasting."
7,Dr Plant Facial Mask Alpine Plants Extract Face Mask Skincare Mask Natural/Moisturizing/Brightening/Anti-Aging 26ml 1p,https://shopee.sg/Dr-Plant-Facial-Mask-Alpine-Plants-Extract-Face-Mask-Skincare-Mask-Natural-Moisturizing-Brightening-Anti-Aging-26ml-1p-i.316157651.3856844275?sp_atk=3226fba6-4550-4502-9b93-a5fd4a55d3f4&xptdk=3226fba6-4550-4502-9b93-a5fd4a55d3f4,$0.48 - $2.50,DR PLANT,5,60.1k,"About Dr Plant

Since time immemorial, Chinese ladies of the imperial courts have known and valued the almost magical beauty-enhancing powers of rare Chinese herbs. Inspired by this centuries old tradition, DR PLANT concentrates on the cultivation, protection and research of these rare herbs, which are called in Chinese “Herbs of Immortality”. While we focus on exclusively using pure, natural ingredients, we combine the power of long-treasured Chinese “Herbs of Immortality” with the newest scientific research as well as Japanese technology to explore and reveal the ancient Chinese beauty secrets for the modern woman of today.

Dr Plant Natural Facial Mask / Dendrobium 1 Pcs
*【Natural Dendrobium Ingredients】The masks are infused with extracts of the dendrobium orchid natural botanical ingredients, which can moisturize, nourish, sooth and hydrate your skin.
*【Moisturizing & Anti-aging Face Mask】The masks are infused with yeast fermentation products which instantly hydrate and moisturize dry skin and stimulate collagen production.
*【Fit For a Variety of Skin Conditions】It is truly one size fits all. Suitable for a variety of skin conditions (Dry, Oily, Sensitive and Tired Skin)
*【Unique Fiber Technology】The masks are with Ultra-thin and extremely soft natural fiber cotton mask cloth.
*【Easy To Apply】After cleansing and toning your skin, unfold a single face mask sheet and gently spread it over your face, then peel off the protective layer. Leave on for 10-20 minutes, then remove the mask, gently patting your skin until the remaining serum is fully absorbed.

【Dendrobium Mask】
Targeting: 1. Dull skin, which is usually caused by staying up late.
                   2. Pre-mature skin which begins to age, and fine lines appear.

Effect: Data shows that continuous use it for 30 days: firming +12%, elasticity +42%, fine lines -21% and moisture +96% 

【Charcoal Mask】
Targeting: large pores, excessive oil, poor absorption, rough skin, skin with dark and yellow tone

Effect: The mask cloth is made of Binchyotan Charcoal, which is fine and porous, can effectively absorb impurities in the pores and promote nutrient absorption.

【Centella Mask】
Targeting: sensitive skin: thin cuticles, bloodshot skin.
         Peeling when in the change of seasons or after sunburn.
         Acne/ itching caused by wearing mask for a long time

Effect: Soothing: quickly soothes dry and sensitive skin
      Repairing: Repair skin redness, itching and tingling
      Keep balance: long-term use to stabilize the skin condition

【Snow Lotus Mask】
Recommended for: people have pigmentation or uneven skin tone as the age grows
                 people who usually expose to the scorching sun and have a dark complexion
                 people who often stay up late and have dull and rough skin

Effect: snow lotus for brightening; nicotinamide for suppressing dullness; 4 levels of hyaluronic acid for moisturizing and shiny

【Cordyceps Mask】
Recommended for: people over 35 years old and have mature skin

Targeting: collagen loss, inelasticity and wrinkles

Effect: deep nourishment, reduce lines, improve elasticity and skin tone
How to use:
Step 1 - Freshen your skin with toner after washing your face
Step 2 - Open pouch and place it on your face evenly
Step 3 - Leave the mask sheet on your face for 15-20 minutes
Step 4 - Remove the sheet. Gently tap your face to let the remaining contents absorb into your skin
 
Note:
1. Stop using if it causes any allergic reaction or any problems arising. 
2. Do not use on scars or any area of skin irritation. 
3. Avoid storing in high temperatures or exposed to direct sunlight. "
8,[SG SELLER] Innisfree / Lettobom My Real Squeeze Mask 20ml - Made in Korea | Ready Stocks,https://shopee.sg/-SG-SELLER-Innisfree-Lettobom-My-Real-Squeeze-Mask-20ml-Made-in-Korea-Ready-Stocks-i.62211483.9483233625?sp_atk=c24b4a2c-f48c-472c-b79c-1aa0bd121a10&xptdk=c24b4a2c-f48c-472c-b79c-1aa0bd121a10,$0.58 - $0.68,Innisfree,4.8,34.9k,"🚚  All our products are In stock
🚚  All orders will be shipped out within 12 hours

My Real Squeeze Masks come in 3 levels of hydration:
• Water base: Light & Fresh
• Essence base: Deeply Hydrating
• Cream base: Intensely Nourishing

Biodegradable
Made from 100% eucalyptus fibers

Add On: 3 Types of Lettobom Mask
1) Honey
2) Green Tea
3) Pomegranate

How to use:
1. After cleansing and toning, apply the mask evenly and smoothly over the entire face, avoiding the eye and lip area.
2. Remove mask after 10-20 minutes and gently pat the remaining residue for full absorption and longer lasting hydration.

Click ""FOLLOW"" our Shop to enjoy exclusive follower vouchers 😊
Stay updated & be inform of our new arrivals !!!
#ladymavia  #sglocalbusiness"
9,[SG READY STOCK] Nature Republic Real Nature Mask Sheet 23ml Ship from Korea,https://shopee.sg/-SG-READY-STOCK-Nature-Republic-Real-Nature-Mask-Sheet-23ml-Ship-from-Korea-i.62211483.14630429769?sp_atk=56ce9b6b-6b08-4bba-8c18-73333fb1497f&xptdk=56ce9b6b-6b08-4bba-8c18-73333fb1497f,$0.68 - $1.20,Nature Republic,4.9,5.5k,"🚚  All our products are In stock
🚚  All orders will be shipped out within 36 hours

💥 Random FREE GIFT for purchase more than 50 sheets 💥

💠    9 Types: 
1. Avocado : The enhanced nourishing mask sheet. Formulated with Mexican avocado extracts.
2. Aloe Vera :The moisturising and soothing mask sheet. Formulated with Aloe extract, which contains rich moisture. Sooth and moist skin.  
3. Green tea :The moisturising and purifying mask sheet. Formulated with Bosung green tea extract.
4. Tomato : The whitening mask sheet. Formulated with Jangsoo tomato extract. 
5. Acai Berry : The firming mask sheet. This mask sheet delivers rich nourishment to the skin.
6. Bamboo : The purifying and moisturising mask sheet. Formulated with Bamboo extract.
7. Cucumber : The Enhanced moisturizing mask sheet. Fomulated with cucumber extract which delivers rich moisture to the skin. 
8. Chamomile : The enhanced nourishing mask sheet. Fomulated with Chamomile extract. 
9. Olive : The rich extract makes your skin elastic and tight. Fomulated with Rich Olive extract.

Click ""FOLLOW"" our Shop to enjoy exclusive follower vouchers 😊
Stay updated & be inform of our new arrivals !!!
#ladymavia  #sglocalbusiness"
